微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ItOSxn0bZ,【不诚信填写“杭州健康码”信息，杭州多人被通报】今天，杭州市防疫工作指挥部发布通报：经过对“杭州健康码”填报信息进行大数据比对甄别，发现鲍XX（身份证后四位：5539）等多人不如实填写有关信息并套取绿码。为此，在将上述人员健康码转为红码的同时，经调查核实后，视情再作进一步处理。不诚信填写“杭州健康码”信息，杭州16人被通报                原图                            ,http://wx1.sinaimg.cn/large/6e1fdf79ly1gbtcifbza5j20k00cdjsi.jpg,无,无,2020-02-12 09:10,微博 weibo.com,46,7,46
ItOR5xxeN,【浙江新增确诊病例14例！其中杭州2例、宁波2例、温州7例】2020年2月11日0-24时，浙江省报告新型冠状病毒肺炎新增确诊病例14例，新增出院病例28例。其中：新增确诊病例中，杭州市2例、宁波市2例、温州市7例、嘉兴市2例、金华市1例；新增出院病例中，杭州市3例、宁波市6例、温州市8例、湖州市1例、嘉兴市1例、绍兴市1例、金华市3例、台州市3例、丽水市2例。浙江新增确诊病例14例，杭州2例、宁波2例、温州7例                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbtcettihjj20fb0uewgk.jpg,无,无,2020-02-12 09:07,专业版微博,302,25,62
ItOH3gmNu,【一省包一市！浙江37人医疗队出征荆门！全力救治重症患者】今天上午，浙江省又派出37人医疗队，携带医疗器械物资赶赴湖北省荆门市开展医疗救治工作。首批支援荆门医疗队中35人为浙江大学医学院附属邵逸夫医院医护人员，另外2人为省疾控中心的公共卫生人员。他们将全力支援荆门做好当地重症患者医疗救治和疫情防控工作。一省包一市！浙江37人医疗队出征荆门！全力救治重症患者            [组图共6张]    原图                            ,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gbtboxoqjgj20rs0kujy0.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbtboxlzvgj20rs0kudlv.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbtboxnqbgj20rs0kuaex.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbtboxpxw5j20rs0kun1k.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbtboxugvlj20rs0ku450.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbtboxpvtsj20rs0kuq8b.jpg",无,无,2020-02-12 08:42,微博 weibo.com,246,35,54
ItOpREj6Q,楼外楼新白鹿名人名家川味观……复工了，外卖怎么点？起送份数，订餐电话小抱抱都帮你整理好了杭州21家餐厅攻略 原图,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbsvh3c4gmj20ku1127qq.jpg,无,无,2020-02-12 08:00,微博 weibo.com,22,10,5
ItLCHjiVm,【马上要发养老金了，杭州多家银行忙着做提醒：不急着用别来，钱放银行很安全】马上要到发社保退休工资的时间了，这两天，杭州各大银行正在多措并举，稳定养老金发放后的网点管理。同时，各家银行也在积极呼吁老年客户错峰或延缓领取养老金，能用手机银行、网上银行等自助渠道办理的业务就尽量不到银行网点。马上要发养老金了，杭州多家银行忙着做提醒：不急着用别来，钱放银行很安全            [组图共4张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsy49l3goj211e0i7wnm.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbsy49grkbj20le0kqwj4.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbsy49rfsoj20mt0vrncz.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsy49u2g0j20u0186qlm.jpg",无,无,2020-02-12 00:53,微博 weibo.com,16,11,12
ItLBVoN7L,【40天内全国已有96家房企破产，房价会不会跌？上半年是不是购房好时机？】根据人民法院公告网显示，2020年元旦至今，40天时间内，全国已有96家房地产相关企业破产清算，平均每天都有2-3家被清算。整个浙江省共有10家，分别来自杭州、宁波、台州、衢州、诸暨等地。其中杭州有5家。一手房开盘计划延后，二手房中介门店未复工，楼市“小阳春”姗姗来迟。楼市复工后，上半年或是买房好时机。40天内全国已有96家房企破产，房价会不会跌？上半年是不是购房好时机？            [组图共4张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsy36f1fej20wd0h6423.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbsy36htqvj210d0h7n2n.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsy36j60zj21e00iqgrs.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbsy36jr1zj20p00gdjzb.jpg",无,无,2020-02-12 00:51,微博 weibo.com,4324,244,891
ItLwojG5v,【杭州真的要给全市中小学生快递新课本了！最快本周内收到】昨天晚上，有个好消息迅速在各大家长群中被转发——教育局要给大家邮寄新课本啦！杭州真的要给全市中小学生快递新课本了！最快本周内收到！ 原图,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbsxp05whkj20jk08gjyp.jpg,无,无,2020-02-12 00:37,微博 weibo.com,166,40,53
ItKM0lJRN,【湖北全省小区实行封闭式管理】10日，湖北省住建厅发布《关于印发〈湖北省住宅小区、办公建筑新型冠状病毒肺炎疫情防控工作指南〉的通知》。通知指出，住宅小区要实行封闭管理，原则上只保留一个出入口，人员进出必须测量体温并登记，严禁体温超过37.3℃的来访人员出入； 暂时关闭小区内会所、图书馆、活动室等人员聚集场所，限制非本小区人员及车辆进入住宅小区（包括快递员、外卖员等）。湖北全省小区实行封闭式管理                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbsudv526lj20c80a4dgn.jpg,无,无,2020-02-11 22:43,微博 weibo.com,77,6,33
ItKKM7Ctb,【有了绿码，并不等于就可以随意出入小区！拟入杭人员必须申领健康码！我们帮大家问了16个有关杭州健康码申领的问题，官方解答来了！】杭州健康码上线后，很多市民和打算入杭人员踊跃到支付宝上进行申请，结果很多问题也来了。我们整理了大家反映比较集中的一些问题，请教了市疫情防控工作领导小组办公室相关负责人。一起来看看遇到这些问题到底该如何处置。有了绿码，并不等于就可以随意出入小区！拟入杭人员必须申领健康码！我们帮大家问了16个有关杭州健康码申领的问题，官方解答来了！                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbsuao87g8j20jk08gjyp.jpg,无,无,2020-02-11 22:40,微博 weibo.com,487,43,306
ItJ1E2vy4,【江苏女婿是无症状感染者，前往舟山致岳父一家被感染！是否涉嫌妨害传染病防治罪正在侦查】2月10日，舟山市报告新型冠状病毒肺炎新增确诊病例3例。3例病例为一家三口，均为江苏无锡输入性无症状感染者（该人目前已在无锡市住院隔离治疗）的家庭成员，有过三天的接触史。舟山公布新增3例确诊病例详细发现过程和患者行动轨迹，女婿是否涉嫌妨害传染病防治罪正在侦查。舟山公布新增3例确诊病例详细发现过程，患者是否涉嫌妨害传染病防治罪正在侦查                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbsmob0jpej20iy08e0zr.jpg,无,无,2020-02-11 18:16,专业版微博,194,10,57
ItITwugAp,【致敬全国医护人员！浙江多处著名景区今年对他们免费开放！】为了致敬奋斗在抗“疫”一线的医护工作者，浙江台州和宁波部分景区推出了自恢复运营之日起对全国医护工作者实行免费开放优惠政策的措施。宁波奉化溪口·雪窦山景区请全国医护人员免费游，台州所有A级景区向医护工作者免费开放，承诺参与免费开放的A级景区名单有→致敬全国医护人员！浙江多处著名景区今年对他们免费开放！                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbsm32tp9wj20jw08b101.jpg,无,无,2020-02-11 17:56,微博 weibo.com,156,11,43
ItIOFEN3J,#NASA立扫把挑战# 【NASA说今天地球引力最小能让扫帚立起来？假的：立扫帚和日子无关】相信最近很多人的朋友圈都被这么一条消息刷屏了。“2月7日（也许是8日、9日、10日、11日或者其他时间）是个特殊的日子，美国宇航局NASA曾经说过这一天地球的引力最小，所以扫帚能够站起来。”专家：所谓的扫帚挑战，其实只是考验你寻找重心的能力和耐心，和NASA可没有一丁点儿的关系。NASA说今天地球引力最小能让扫帚立起来？假的：立扫帚和日子无关                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbslqy6t0jj20k00b0ahk.jpg,无,无,2020-02-11 17:44,微博 weibo.com,399,61,80
ItIBIx56z,【疫情仍在持续，农民收入如何保障？】春节是农产品的销售旺季，一方面大量农产品上行通道受限，不仅影响了农户当下的收入，也打乱了部分农产区的春耕生产计划，这对未来一年的农产品供给提出了严峻考验。对此，拼多多在10日宣布上线“抗疫农货”专区，并设置5亿元的专项农产品补贴，以及每单2元的快递补贴，力保农户收入。目前，该专区已覆盖全国近400个农产区包括230多个国家级贫困县。            [组图共3张]    原图                            ,"http://ww1.sinaimg.cn/large/6e1fdf79ly1gbskttzhq0j20a80l14dr.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsktuf2xrj20fc0a8tgy.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbsktv3fenj20fd09o17c.jpg",无,无,2020-02-11 17:12,微博云剪,10,2,4
ItI7Ryqx4,【省发布会直击│浙江正加紧建设全省统一的健康码共享平台】今天下午，浙江省发布会上，省防控工作领导小组办公室常务副主任、省政府副秘书长陈广胜表示，前期疫情防控过程中，确实出现了措施执行层层加码，比如强行锁门，不让租户进小区，关闭经营网点便利店等情况，这些做法都是不妥当的。目前，浙江正加紧建设全省统一的健康码共享平台，为方便群众出行，企业复工提供有效的支撑。省发布会直击│浙江正加紧建设全省统一的健康码共享平台            [组图共2张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsipaxadyj210d0kfgrg.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbsipavjbqj20m60kswhd.jpg",无,无,2020-02-11 15:59,微博 weibo.com,79,5,47
ItHCnz1oR,#坚守共赢胜利#剪掉长发驰援武汉的杭州护士、捐款10万元的杭州84岁独居老人、通宵坚守防控一线的保安大哥、到医院送护目镜的小姐姐……谢谢你，每一个平凡的中国人！[爱心]疫情当前，我们坚守共赢胜利，说出那些让你感动的瞬间。@活力伊利 @人民日报 @央视新闻 @新京报 原图,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbsggi16tjj20u0140hdt.jpg,无,无,2020-02-11 14:41,微博 weibo.com,32,1,6
ItHfabRHU,"【江苏援湖北医疗队物资被扣留？真相其实是这样的！】2 月 10 日，网上出现了江苏援湖北医疗队物资被扣留的传言，江苏援湖北医疗队总领队邱泽森介绍，"" 同一天那么多航班抵达，行李和物资迟了一点，但不存在被扣留的事，现在都送过来了，已经清点完毕。"" 目前，这些医疗物资已经在第一时间用到了重型、危重型病患的救治中。（现代快报）江苏援湖北医疗队物资被扣留？真相其实是这样的！            [组图共4张]    原图                            ","http://ww4.sinaimg.cn/large/6e1fdf79ly1gbseswv28vj20k0097tgf.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbseswyu45j20k00f0tjz.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbseswyaj4j20k00es7f8.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbsesx31lcj20k00dc7ec.jpg",无,无,2020-02-11 13:44,微博 weibo.com,40,4,5
ItGT4k2Vj,【广东紧急立法！明确禁止滥食和交易野生动物】广东省人大常委会就疫情防控作出特别决定，明确提出禁止滥食和交易野生动物；决定授权县级以上政府，根据防控需要可在12个方面规定临时性应急行政管理措施。（南方+）广东紧急立法！明确禁止滥食和交易野生动物 原图,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbsd8g27n8j20jw08b101.jpg,无,无,2020-02-11 12:50,专业版微博,54,3,14
ItGxF0tHT,【绿码通行、红码隔离14天，黄码隔离7天以内！“杭州健康码”上线，外地入杭必须申领到“绿码”】从今日起，杭州启用“杭州健康码”措施，广大市民和拟入杭人员可自行在线申报，通过审核后，将产生一个颜色码。杭州健康码实施“绿码、红码、黄码”三色动态管理，拟入杭人员，必须申领到“绿码”后才能入杭。杭州健康码下载和使用办法→绿码通行、红码隔离14天，黄码隔离7天以内！“杭州健康码”上线，外地入杭必须申领到“绿码”            [组图共2张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsbvbq0mhj20k00sbjul.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbsbvjjkgij20k00sawhq.jpg",无,无,2020-02-11 11:57,微博 weibo.com,5705,292,1968
ItGhkAf3k,【浙大一院医生张京臣2月7日那天被新冠肺炎患者咬了！怎么回事？】7日15：30左右，浙大一院张京臣医生正给一位危重症患者做治疗操作，虽然患者病情已经向好，但还是有点意识不清，出现谵妄现象，可能感觉不舒服，患者突然抬头，咬了张京臣医生右臂外侧。张京臣说：“其实这个病人本身就在好转中，这一下说明他恢复得还不错。”这个患者当天核酸检测已经转阴，张京臣后续也只要定期复查就好。浙大一院医生张京臣2月7日那天被新冠肺炎患者咬了！怎么回事？            [组图共3张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsaf5ktnzj20k00b945v.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsaf5qq2uj20k00etwrm.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbsaf5r3gfj20k00qnk2x.jpg",无,无,2020-02-11 11:17,专业版微博,325,24,88
ItFJFvQHY,"【杭州新增良渚奥克斯缔逸城、留下石马新村两例】2020年2月10日0-24时，全市新增报告新型冠状病毒感染的肺炎确诊病例2例，其中：西湖区、余杭区各1例。新增重症病例1例，治愈出院7例。截至2月10日24时，全市累计报告新型冠状病毒感染的肺炎确诊病例157例。其中：余杭区37例，桐庐县20例，萧山区18例（其中机场检疫1例）,江干区16例，西湖区13例，拱墅区12例，上城区10例，下城区、钱塘新区各7例，富阳区、临安区各5例，滨江区4例，建德市3例。累计出院47例。全市共追踪到密切接触者5218人，已解除隔离医学观察3494人，尚有1724人在隔离医学观察期内。2例新增确诊病例情况→杭州新增良渚奥克斯缔逸城、留下石马新村两例                原图                            ",http://wx1.sinaimg.cn/large/6e1fdf79ly1gbs85d9y24j20jy08e45w.jpg,无,无,2020-02-11 09:54,专业版微博,13,8,3
ItFI0qwXV,【连续10天无新增的舟山，昨天新增3例！一家人接触了无锡来的无症状感染者】2月10日，舟山市报告新型冠状病毒肺炎新增确诊病例3例。3例病例为一家三口，都曾与江苏省无锡市发现的1名无症状感染者有密切接触史（该人已在无锡住院隔离治疗）。目前，确诊病例和无症状感染者均在定点医疗机构接受隔离治疗，病情总体稳定。连续10天无新增的舟山，昨天新增3例！一家人接触了无锡来的无症状感染者                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbs80scljcj20j6083gmg.jpg,无,无,2020-02-11 09:50,微博 weibo.com,65,11,30
ItFswFc9r,【#湖北省卫健委书记主任被双双免职#】2月10日，湖北省委常委会决定：免去张晋的省卫生健康委员会党组书记职务；免去刘英姿的省卫生健康委员会主任职务；上述两职务，由新到任的省委常委王贺胜同志兼任。湖北省卫健委党组书记、主任双双被免职 原图,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbs6yj1c0bj20c8082aa5.jpg,无,无,2020-02-11 09:11,微博 weibo.com,260,24,66
ItFneDW6G,【浙江新增确诊病例25例，其中杭州2例、宁波2例、温州10例】2020年2月10日0-24时，浙江省报告新型冠状病毒肺炎新增确诊病例25例，新增出院病例50例。其中：新增确诊病例中，杭州市2例、宁波市2例、温州市10例、衢州市6例、舟山市3例、台州市2例；新增出院病例中，杭州市7例、宁波市3例、温州市21例、湖州市2例、嘉兴市2例、绍兴市4例、金华市1例、衢州市2例、台州市8例。截至2月10日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1117例，现有重症病例87例（其中危重30例），出院病例 250 例（根据国家最新规定，有1例出院病例归属地由杭州市上城区调整至外省，故今日我省累计报告出院病例数相应核减1例）。其中：确诊病例中，杭州市157例、宁波市151例、温州市474例、湖州市10例、嘉兴市40例、绍兴市41例、金华市53例、衢州市21例、舟山市10例、台州市143例、丽水市17例；重症病例中，杭州市16例、宁波市11例、温州市31例、湖州市1例、嘉兴市6例、绍兴市7例、金华市4例、舟山市1例、台州市9例、丽水市1例；出院病例中，杭州市47例、宁波市18例、温州市99例、湖州市3例、嘉兴市5例、绍兴市12例、金华市16例、衢州市5例、舟山市5例、台州市35例、丽水市5例。全省共追踪到密切接触者32550人，当日解除医学观察2119人，尚有12624人正在接受医学观察。浙江新增确诊病例25例，其中杭州2例、宁波2例、温州10例                原图                            ,http://wx1.sinaimg.cn/large/6e1fdf79ly1gbs6jx78vgj20jy08e45w.jpg,无,无,2020-02-11 08:58,微博 weibo.com,39,11,19
ItFjx48fY,【上海华山医院医疗队落地武汉物资被盗？捏造的！】2月10日，网上出现一则关于上海华山医院第四批支援湖北医疗队物资被盗的传言：华山医院医疗队落地后“物资蒸发”，其中包括队员们的个人生活用品，导致医疗队队员们无法生活。据了解，华山医院第四批支援湖北医疗队于2月9日下午4时许抵达武汉，武汉方面已第一时间安排医疗队入住武汉光谷希尔顿，随队的物资和行李于2月10凌晨2时许用卡车送至酒店，丢失、盗窃的情况并不存在。华山医院医疗队落地武汉物资被盗？捏造的！            [组图共2张]    原图                            ,"http://ww4.sinaimg.cn/large/6e1fdf79ly1gbs6ae36fsj20k00bbgw1.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbs6ae87dej20k00r8njm.jpg",无,无,2020-02-11 08:49,微博 weibo.com,49,17,39
ItF6is53Y,【全国新增确诊病例2478例（湖北2097例），新增死亡病例108例（湖北103例）】2月10日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告，新增确诊病例2478例（湖北2097例），新增重症病例849例（湖北839例），新增死亡病例108例（湖北103例，北京、天津、黑龙江、安徽、河南各1例），新增疑似病例3536例（湖北1814例）。当日新增治愈出院病例716例（湖北427例），解除医学观察的密切接触者26724人。截至2月10日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例37626例（其中重症病例7333例），累计治愈出院病例3996例（浙江核减1例），累计死亡病例1016例，累计报告确诊病例42638例（浙江核减12例，江西核增1例），现有疑似病例21675例。累计追踪到密切接触者428438人，尚在医学观察的密切接触者187728人。累计收到港澳台地区通报确诊病例70例：香港特别行政区42例（死亡1例），澳门特别行政区10例（治愈出院1例），台湾地区18例（治愈出院1例）。全国新增确诊病例2478例（湖北2097例），新增死亡病例108例（湖北103例）                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbs5bt61f0j20jy08e45w.jpg,无,无,2020-02-11 08:17,微博 weibo.com,17,8,5
ItEZn7Cv9,客厅跑马不孤单带上你的另一半一起跑起来！ 2·14『潮爱跑』来了30个名额限量抢！ 原图,http://wx1.sinaimg.cn/large/6e1fdf79ly1gbrl7sufz5j20ku112hb6.jpg,无,无,2020-02-11 08:00,微博 weibo.com,3,1,2
ItBWWAr4H,【紧急寻找密切接触者！江西一疑似病例2月7日坐火车到宁波、温岭、杭州走了一圈，并在杭州东站换乘去上饶】江西上饶市铅山县新型冠状病毒肺炎疑似病例李某某于2020年2月8日下午就诊，目前在铅山县定点医院隔离治疗，病情稳定。在流行病学调查时，发现李某某有以下出入公共场所活动轨迹，现紧急寻找相关接触人员。紧急寻找密切接触者！江西一疑似病例2月7日坐火车到宁波、温岭、杭州走了一圈，并在杭州东站换乘去上饶                原图                            ,http://wx4.sinaimg.cn/large/6e1fdf79ly1gbrrfleiedj20fx1jdwiw.jpg,无,无,2020-02-11 00:15,专业版微博,309,63,127
ItBvL5LxI,【第一天，来看看农夫山泉、娃哈哈这些杭州企业怎样复工？每天发两个口罩，“包间”吃饭，电梯暂停……民意直通车特别版“复工指南”来了！】今天开始，包括春风动力、娃哈哈、农夫山泉等在内的浙江省重点企业在审批通过后正式复工。春风动力电梯全停，每天消毒四次，食堂被隔成小包间。养生堂-农夫山泉给员工准备了天然维生素C。杭州娃哈哈集团有限公司对员工建立建立“一人一档”，每天测两次体温。第一天，来看看农夫山泉、娃哈哈这些杭州企业怎样复工？每天发两个口罩，“包间”吃饭，电梯暂停……民意直通车特别版“复工指南”来了！            [组图共11张]    原图                            ,"http://ww3.sinaimg.cn/large/6e1fdf79ly1gbrphoahbhj20k00f0k3d.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrphoif57j20k00qodvp.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbrpho6sl3j20k00dz7gf.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbrphnq4eqj20k00qodsc.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrphnu5wpj20k008mahy.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrphnpmuxj20k00eydpd.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrphnq47xj20k00f07ez.jpg,http://ww1.sinaimg.cn/large/6e1fdf79ly1gbrphno6l8j20k00qodvf.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbrphnjoy0j20k00qoqf9.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrphnf29lj20k00f0tj9.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrphodq1rj20k00zuqio.jpg",无,无,2020-02-10 23:08,专业版微博,80,11,26
ItBgvuT3b,#我老师成了网络主播#今年的开学日与以往大不同。受疫情影响，全国中小学延迟开学。不过，广大老师并未因此停课，而是选择通过企业微信等办公软件授课。据悉，通过“群直播”功能，老师用企业微信一键发起直播，学生在“微信”就能看，无需强制下载其它App。同时，在企业微信PC端，老师还可投屏课件PPT，实现双屏教学。                原图                            ,http://wx4.sinaimg.cn/large/6e1fdf79ly1gbroeysfhnj20u0817x0b.jpg,无,无,2020-02-10 22:31,微博云剪,46,4,14
ItBft6b3G,【杭州主城区20条公交线路增加班次，涉及8路、151路、B1线】记者从杭州公交集团了解到，根据杭州市交通运输局2月9日下发的《关于城市地铁、公交运营调整的通告》，公交集团结合部分企业复工的实际情况，就下一步防疫保障及“三返客流”高峰营运保障工作将开展多项工作。其中，首批20条主城区线路根据客流调整了调度方式。同时，小红车加强投入，每天安排人员进行全覆盖式消毒，保障市民复工后顺利出行。杭州主城区20条公交线路增加班次，涉及8路、151路、B1线                原图                            ,http://wx4.sinaimg.cn/large/6e1fdf79ly1gbrocabyr2j20k00n3tc5.jpg,无,无,2020-02-10 22:28,专业版微博,14,6,29
ItAM81c2O,【温州小伙阳台开“演唱会”引邻居大合唱，因不利于疫情管控被叫停】近日，温州乐清市流行音乐学会会员，27岁小伙王从金把音响搬到阳台上，搞起了“演唱会”，引得不少闷在家里的邻居鼓掌欢呼，还引来一阵阵合唱，大家点亮手机整齐摇摆，一起高呼“乐清加油，温州加油！”不过，昨日记者从乐清相关部门获悉，因为处于特殊时期，不利于疫情管控，“阳台演唱会”被当地街道办事处叫停。温州小伙阳台开“演唱会”引邻居大合唱，因不利于疫情管控被叫停 都市快报的微博视频                                ,无,无,无,2020-02-10 21:16,专业版微博,82,7,17
ItAo0zwxl,【好消息！#北京首例孕妇患者出院#】截至昨天，北京已有37名新冠肺炎患者治愈出院。其中来自武汉的钱安妮，确诊时已经怀孕33周。经过5天治疗，安妮顺利治愈出院，目前正在宾馆隔离。她是1月20日和丈夫一起，从武汉老家坐高铁到北京陪公婆过年，1月29日晚，安妮突然感觉身体不适，送医后很快被确诊。央视新闻的微博视频                                ,无,无,无,2020-02-10 20:17,专业版微博,11,4,3
ItAeN4LXn,#猿辅导百万人同时在线大模考# 假期延长期间，为帮助全国初三高三学生全力备战中高考，猿辅导在线教育公司继推出“免费直播课”之后，旗下猿题库APP发起一场“全国百万人同时在线的英语模拟考试”。2月15日14点，统一在家中开考。考试结束10分钟内直接出分，同时生成诊断报告和全国排名。想要挑战的同学，即日起在猿题库APP、小猿搜题APP和猿辅导APP里，均可免费报名。报名点击：http://t.cn/A6h74laM            [组图共9张]    原图                            ,"http://ww2.sinaimg.cn/large/6e1fdf79ly1gbrjvjm32hj20u01hdk9n.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbrjvk1dewj20ku19m7ai.jpg,http://ww4.sinaimg.cn/large/6e1fdf79ly1gbrjvkeqhyj20ku1u00w2.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbrjvkt2p3j20ku1tw778.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbrjvlgu12j20u00u0qh4.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbrjvlvabaj20ku1vajum.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbrjvm8o9fj20ku1ri41h.jpg,http://ww3.sinaimg.cn/large/6e1fdf79ly1gbrjvmq0caj20ku1riacv.jpg,http://ww2.sinaimg.cn/large/6e1fdf79ly1gbrjvn2k78j20ku1v9gp9.jpg",无,无,2020-02-10 19:54,微博云剪,177,42,44
ItyDC9ny7,【省发布会直击│水、气价格下调10%，为期3个月，降低企业用能成本5.4亿元】今天下午3点，浙江省举行新冠肺炎疫情防控工作新闻发布会（第十五场）。省发展改革委副主任谢晓波：面对企业经营遇到的困难，我们出台了若干意见，在多个方面给予支持。1.给予财税支持，对重点企业贷款50%进行贴息，减免相关企业增值税、房产税等。2.给予金融支持，免除利息，并给予财政补贴，纳入地方财政支持。3.给予用能支持，降低企业用能成本，水、气价格分别下调10%，为期3个月，降低企业用能成本达5.4亿元。4.房租上，对承租国有资产类经营用房的企业，减免房租。5.建立重点企业名单制度，跟踪服务支持。省发布会直击│水、气价格下调10%，为期3个月，降低企业用能成本5.4亿元                原图                            ,http://wx3.sinaimg.cn/large/6e1fdf79ly1gbrckba969j20k00epdpu.jpg,无,无,2020-02-10 15:49,专业版微博,9,0,0
ItyyHtPe0,【杭州有位老师今天定了16个闹钟！“云上课”第一天，所有人都很忙，尤其是打印机！】今天一早，杭州突然大规模涌现了一批“网络主播”，他们就是杭州各大中小学的老师。学生和家长也是手忙脚乱，这才第一天，网上已经有很多家长说“心累”了。打印机也成了刚需，杭州一家科技公司的经理说，这两天卖出了一个月的量！杭州有位老师今天定了16个闹钟！“云上课”第一天，家长、孩子、老师都很忙！打印机特别忙，两天卖出一个月的量！ 网上开学，你家情况如何？                                ,无,无,无,2020-02-10 15:37,微博 weibo.com,2015,11,23
ItyrN6wye,【省发布会直击｜浙江用“五色法”对各县（市、区）进行疫情风险评估，乐清为唯一的高风险区域，余杭、江干为较高风险区】今天下午3点，浙江省举行新冠肺炎疫情防控工作新闻发布会（第十五场）。省卫生健康委副主任孙黎明通报浙江省新型冠状病毒肺炎疫情情况：近日，我们对各县（市、区）新冠肺炎疫情情况，采用“五色法”进行了风险评估。即：根据各县（市、区）累计确诊病例数、本地病例占比、聚集性疫情、连续3天无新增确诊病例等指标计算风险，分别用红、橙、黄、蓝、绿五色对应高风险、较高风险、中风险、较低风险、低风险。省发布会直击｜浙江用“五色法”对各县（市、区）进行疫情风险评估，乐清为唯一的高风险区域，余杭、江干为较高风险区                原图                            ,http://wx2.sinaimg.cn/large/6e1fdf79ly1gbrbz1hos1j20fo1sak06.jpg,无,无,2020-02-10 15:20,专业版微博,19,9,24
ItyotpNGk,【杭州市严格防控有序复工第一批备案企业核准名单】杭州市春节保供企业连续运营920家，本次企业复工备案核准542家，合计1462家。点击链接查看完整名单杭州市严格防控有序复工第一批备案企业核准名单 原图,http://wx1.sinaimg.cn/large/6e1fdf79ly1gbrbql40ngj20k008gdjw.jpg,无,无,2020-02-10 15:12,专业版微博,16,8,17
